benchmark,scenario,elapsed_s,rows_per_s,n_rows,repeats,python,platform,ts
eoq.deviation_table,synth,0.026,19229.3,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
hierarchical_eoq.shrink_rates,synth,0.0703,7112.6,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
cleaning.standard_clean,synth,0.0071,69941.8,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
imputation.missingness,synth,0.0087,57505.0,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
imputation.mass_impute,synth-10pct-nan,0.0191,26207.8,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
bullwhip.ratio,synth,0.0005,1057082.5,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
lead_time.km,synth,0.0112,44467.8,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
lead_time.per_group_km,supplier+lane,0.1918,2606.8,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
sustainability.emissions,synth,0.0158,31640.6,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
sustainability.supplier_score,synth,0.0248,20163.4,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
freight.lane_volatility,synth,0.003,167864.1,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
freight.portfolio_mix,synth,0.0109,45800.5,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
risk.cvar_pareto,n_sims=2000,0.0064,77543.4,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
multi_echelon.safety_stock,synth,0.003,165788.0,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
graph.value_stream_build,nodes=25,0.0013,376251.0,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
graph.degree_centrality,nodes=25,0.0006,844594.6,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
graph.eigenvector,nodes=25,0.0019,264844.5,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
findings_index.bulk_write,n=500,0.0278,17974.1,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
findings_index.lookup,synth,0.0036,138780.9,500,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T17:19:14+00:00
