benchmark,scenario,elapsed_s,items_per_s,n,repeats,python,platform,ts
intent_parser.parse,single_query,0.0001,16863.4,1,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:28:19+00:00
intent_parser.parse,8_paraphrases,0.0003,27416.0,8,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:28:19+00:00
intent_parser.parse,bulk_2,0.0001,32467.5,2,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:28:19+00:00
mission_store.create_mission,create_2,0.0427,46.9,2,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:28:19+00:00
mission_store.list_open,limit_50,0.0028,357.5,1,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:28:19+00:00
mission_store.update_progress,update_2,0.0182,109.8,2,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:28:19+00:00
schema_synthesizer.synthesize,6_entity_kinds,4.5129,1.3,6,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:28:19+00:00
viz_composer.compose,100_findings,0.1022,978.2,100,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:28:19+00:00
viz_composer.compose,1000_findings,0.1113,8981.6,1000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:28:19+00:00
viz_composer.compose,5000_findings,0.127,39368.3,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:28:19+00:00
